language,country,main_group,subgroup,product-name,product-number,file-path
de,CH,steam-traps,manifolds-and-insulation-jackets,msc8,p117-15,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/msc8-ti-p117-15-de.ashx?rev=8c715526b6234f37921da8633880f126
fr,CH,steam-traps,balanced-pressure-steam-traps,mst21,p125-08,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/mst21-ti-p125-08-fr.ashx?rev=2c91754612af49c6a573238ba3952c5a
it,CH,steam-traps,balanced-pressure-steam-traps,mst21,p125-08,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/mst21-ti-p125-08-it.ashx?rev=62b3597271f046c2a61c47a58dedf8fe
fr,FR,steam-traps,balanced-pressure-steam-traps,mst21,p125-08,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/mst21-ti-p125-08-fr.ashx?rev=2c91754612af49c6a573238ba3952c5a
it,IT,steam-traps,balanced-pressure-steam-traps,mst21,p125-08,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/mst21-ti-p125-08-it.ashx?rev=62b3597271f046c2a61c47a58dedf8fe
de,DE,steam-traps,balanced-pressure-steam-traps,mst21,p125-08,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/mst21-ti-p125-08-de.ashx?rev=1dd262ae0c8c43af93ce3ee4ec83776c
de,CH,steam-traps,balanced-pressure-steam-traps,mst21,p125-08,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/mst21-ti-p125-08-de.ashx?rev=1dd262ae0c8c43af93ce3ee4ec83776c
de,CH,control-systems,control-valves,mv318,mv318cvg1,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/mv318-ti-mv318cvg1-de.ashx?rev=65096c3dd23841499607cadd580c740d
de,DE,control-systems,control-valves,mv318,mv318cvg1,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/mv318-ti-mv318cvg1-de.ashx?rev=65096c3dd23841499607cadd580c740d
de,DE,control-systems,control-valves,mv6014,mv6014,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/mv6014-ti-mv6014-de.ashx?rev=6abf6b5dfd944abcac1f3f78f3cb9e06
de,CH,control-systems,control-valves,mv6014,mv6014,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/mv6014-ti-mv6014-de.ashx?rev=6abf6b5dfd944abcac1f3f78f3cb9e06
